ARTD608,Visual Art 1
DIGD502,Photoshop 1
DIGD504,Photoshop 2
BLAW703,Copyright Law
HSCI718,Health Care Ethics
BMKT508,Media Advertisement
BUSI509,Understanding Business
COMP500,Programming 1
MATH754,Advanced Calculus
BMKT500,Strategic Marketing
ARTD601,Design Studio 1
HSCI624,Human Mechanics
ARTD602,Design Studio 2
PHYS701,Classical Mechanics and Electrodynamics
MATH532,Statistics for Commerce
HSCI608,Population Health
BLAW707,Land Law
PHYS336,Fluid Mecahnics
ECON609,Macroeconomics
COMP507,Programming 2
STTS507,Statistics for Commerce
BLAW706,Equity
ECON604,Monetary Economics
COMP504,Networks and Internet
HSCI682,Health in Society
BUSI502,Accounting for Decision Making
BSCI705,Orbital Dynamics
ARTD627,Design Thinking
HSCI523,Biology for Biomedical Science
GEOL624,Rocks, Minerals and Ores
COMP608,Programming 3
